description,flagged
FIC12718,False
PIC02151,False
PIC02631,False
LIC12705,False
TIC12711,False
FIC12702,False
QIC02151,False
FIC12703,False
FIC10721,False
QIC10720,False
QIC10701,False
FIC12631,False
FIC10702,False
PIC04123B,False
PIC04121A,False
PIC04121B,False
LIC10751,False
PIC02632,False
FIC051019C,False
TIC13125B,False
TIC04103,False
PIC05101,False
FIC05107,True
FIC05106,False
LIC0511,False
PIC11151B,False
PIC11151A,False
FIC11121,False
FIC13101,False
FIC11120,False
FIC11141,False
PIC11106,True
PIC11109,False
PIC11110,True
TIC13125A,False
PIC13117,False
LIC13106,False
TIC13115,False
FIC11122,False
TIC14113,False
FIC00303,False
PDIC11152B,False
PIC07814,False
FIC076012,False
PIC076012,True
PIC076008,False
LIC076015,False
TIC07601,False
PIC07602,False
PIC07301,False
PIC02121B,False
PIC02121A,False
LIC12620,False
FIC12607,False
FIC12603,False
PIC12617,False
TIC12121,True
TIC12102,False
FIC051025C,False
FIC08032,False
PDIC11152A,False
LIC07101,False
FIC00211,False
TIC02106,True
QIC12701,False
LIC05111,False
FIC10673,False
FIC10672,False
FIC10671,False
FIC10521A,False
FIC10521B,False
PIC10625,False
TIC10623,False
FIC10531,False
FIC10571,False
TIC00516,False
LIC00502,False
PIC00505,False
FIC00301,False
FIC00302,False
QIC08101,False
FIC051030C,False
HIC00304,False
HIC00305,False
HIC02122A,False
HIC02122B,False
HIC04122A,False
HIC04122B,False
HIC04123,False
HIC10725,False
HIC11180,False
HIC11181,False
HIC13106,False
